unique_id,graph_type,cluster_label,is_noise,FEN,ECO,Name,new unique ID,move_number,part_index,part_filename,partition_move_id
rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -_A00_Amar Opening: Paris Gambit_white,white,2,FALSE,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -,A00,Amar Opening: Paris Gambit,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -_A00_Amar Opening: Paris Gambit,0,1,dashboard_data_part_01.json,0
rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -_A00_Amar Opening: Paris Gambit_black,black,22,FALSE,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -,A00,Amar Opening: Paris Gambit,rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -_A00_Amar Opening: Paris Gambit,0,1,dashboard_data_part_01.json,0
"rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -_A00_Amar Opening: Paris Gambit, Gent Gambit_white",white,63,FALSE,rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -,A00,"Amar Opening: Paris Gambit, Gent Gambit","rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -_A00_Amar Opening: Paris Gambit, Gent Gambit",1,1,dashboard_data_part_01.json,1
"rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -_A00_Amar Opening: Paris Gambit, Gent Gambit_black",black,20,FALSE,rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -,A00,"Amar Opening: Paris Gambit, Gent Gambit","rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -_A00_Amar Opening: Paris Gambit, Gent Gambit",1,1,dashboard_data_part_01.json,1
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -_A00_Amsterdam Attack_white,white,-1,TRUE,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -,A00,Amsterdam Attack,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -_A00_Amsterdam Attack,2,1,dashboard_data_part_01.json,2
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -_A00_Amsterdam Attack_black,black,25,FALSE,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -,A00,Amsterdam Attack,r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -_A00_Amsterdam Attack,2,1,dashboard_data_part_01.json,2
rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -_A00_Barnes Opening: Fool's Mate_white,white,58,FALSE,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -,A00,Barnes Opening: Fool's Mate,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -_A00_Barnes Opening: Fool's Mate,3,1,dashboard_data_part_01.json,3
rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -_A00_Barnes Opening: Fool's Mate_black,black,59,FALSE,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -,A00,Barnes Opening: Fool's Mate,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -_A00_Barnes Opening: Fool's Mate,3,1,dashboard_data_part_01.json,3
rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit_white,white,20,FALSE,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -,A00,Barnes Opening: Gedult Gambit,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit,4,1,dashboard_data_part_01.json,4
rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit_black,black,-1,TRUE,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -,A00,Barnes Opening: Gedult Gambit,rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit,4,1,dashboard_data_part_01.json,4
rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit_white,white,49,FALSE,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -,A00,Barnes Opening: Gedult Gambit,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit,5,1,dashboard_data_part_01.json,5
rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit_black,black,2,FALSE,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -,A00,Barnes Opening: Gedult Gambit,rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -_A00_Barnes Opening: Gedult Gambit,5,1,dashboard_data_part_01.json,5
